sep=;
Nr.;Nume Produs;UM;Pret Fara TVA;Pret Cu TVA;Moneda;Cod EAN;Cod Produs;Observatii 1;Observatii 2;Tip;Pret 2;Pret 2 Cu TVA;Pret 3;Pret 3 Cu Tva;Cota TVA;Categorie Produse;Accize;Greutate (Kg);Observatii 3;Observatii 4;
1141.;RAMA DX MZ15;BUC;;210.00;RON;6426971313118;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1142.;RAMA DX NPS 9035;BUC;;210.00;RON;6423115196460;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1143.;RAMA DX NPS 9088;BUC;;210.00;RON;6421751018290;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1144.;RAMA DX NPS 9088;BUC;;210.00;RON;6428173918887;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1145.;RAMA DX OPTIK 12557;BUC;;330.00;RON;6422887982585;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1146.;RAMA DX OPTIK 5001;BUC;;330.00;RON;6423511660107;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1147.;RAMA DX OPTIK 5003;BUC;;330.00;RON;6425638117656;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1148.;RAMA DX OPTIK 5003;BUC;;330.00;RON;6429598209697;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1149.;RAMA DX OPTIK 9015;BUC;;330.00;RON;6428729155841;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1150.;RAMA DX T 1801;BUC;;210.00;RON;6427054842716;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1151.;RAMA DX T 1802;BUC;;210.00;RON;6426864763402;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1152.;RAMA DX T 1809;BUC;;210.00;RON;6425598593835;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1153.;RAMA DX T 1813;BUC;;210.00;RON;6423594579488;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1154.;RAMA DX T 1822;BUC;;210.00;RON;6428766027590;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1155.;RAMA DX T 1831;BUC;;210.00;RON;6428358542869;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1156.;RAMA DX T1801;BUC;;210.00;RON;6423966311234;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1157.;RAMA DX T1816;BUC;;210.00;RON;6426376064035;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1158.;RAMA DX T1816;BUC;;210.00;RON;6429745035254;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1159.;RAMA DX T1829;BUC;;210.00;RON;6427067638313;;;;Produs;;;;;19%; - RAMA - DIAX;;;;;
1160.;RAMA EINAR 2142;BUC;;220.00;RON;6425078684381;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1161.;RAMA EINAR 2144;BUC;;220.00;RON;6421251438949;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1162.;RAMA EINAR 2144;BUC;;220.00;RON;6422699686084;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1163.;RAMA EINAR 2144;BUC;;220.00;RON;6422943934480;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1164.;RAMA EINAR 2144;BUC;;220.00;RON;6426636474925;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1165.;RAMA EINAR 2144;BUC;;220.00;RON;6427171808268;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1166.;RAMA EINAR 2144 ;BUC;;220.00;RON;6425134542259;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1167.;RAMA EINAR 2154;BUC;;220.00;RON;6427994875119;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1168.;RAMA EINAR 2539;BUC;;210.00;RON;6423611486317;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1169.;RAMA EINAR 2548;BUC;;220.00;RON;6427095588703;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1170.;RAMA EINAR 2902;BUC;;220.00;RON;6427871624328;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1171.;RAMA EINAR 2919;BUC;;220.00;RON;6421713837976;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1172.;RAMA EINAR 2921;BUC;;220.00;RON;6427284981063;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1173.;RAMA EINAR 2921;BUC;;220.00;RON;6427735504537;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1174.;RAMA EINAR 3124;BUC;;220.00;RON;6429142880440;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1175.;RAMA EINAR 3152;BUC;;220.00;RON;6421074627643;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1176.;RAMA EINAR 3152;BUC;;220.00;RON;6421573643144;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1177.;RAMA EINAR 3158;BUC;;220.00;RON;6421584069490;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1178.;RAMA EINAR 3158;BUC;;220.00;RON;6428369428749;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1179.;RAMA EINAR 3736;BUC;;220.00;RON;6422978970675;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1180.;RAMA EINAR 3746;BUC;;220.00;RON;6422043149586;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1181.;RAMA EINAR 3746;BUC;;220.00;RON;6425017166077;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1182.;RAMA EINAR 3747;BUC;;220.00;RON;6426269215698;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1183.;RAMA EINAR 3752;BUC;;220.00;RON;6428093658054;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1184.;RAMA EINAR 3754;BUC;;220.00;RON;6423612946506;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1185.;RAMA EINAR 3754;BUC;;220.00;RON;6427717640925;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1186.;RAMA EINAR 5022;BUC;;300.00;RON;6421829162276;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1187.;RAMA EINAR 5022;BUC;;300.00;RON;6425056661441;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1188.;RAMA EINAR 5062;BUC;;300.00;RON;6428805125829;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1189.;RAMA EINAR 5544;BUC;;300.00;RON;6424952488572;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1190.;RAMA EINAR 7012;BUC;;300.00;RON;6421929427343;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1191.;RAMA EINAR 7016;BUC;;300.00;RON;6427974414208;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1192.;RAMA EINAR 8004;BUC;;300.00;RON;6421899700590;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1193.;RAMA EINAR 8004;BUC;;300.00;RON;6429620654426;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1194.;RAMA EINAR AUO 3250;BUC;;260.00;RON;6420165815594;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1195.;RAMA EINAR G 3745 C;BUC;;220.00;RON;6422741809409;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1196.;RAMA EINAR GE 152 E;BUC;;220.00;RON;6428718602646;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1197.;RAMA EINAR L 2874;BUC;;220.00;RON;6422842038937;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1198.;RAMA EINAR L 2882;BUC;;220.00;RON;6424326284267;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1199.;RAMA EINAR L 2925;BUC;;220.00;RON;6425302775892;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1200.;RAMA EINAR L 2925 D;BUC;;220.00;RON;6423693377169;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1201.;RAMA EINAR L 5520 A;BUC;;300.00;RON;6426611327871;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1202.;RAMA EINAR L5542 A;BUC;;300.00;RON;6426536251824;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1203.;RAMA EINARS G 3746C;BUC;;220.00;RON;6427035476954;;;;Produs;;;;;19%; - RAMA - EINAR;;;;;
1204.;RAMA EMILIA MOD |V 63;BUC;;850.00;RON;6423745039588;;;;Produs;;;;;19%; - RAMA - EMILIA;;;;;
1205.;RAMA EMILIA MOD |V 64;BUC;;850.00;RON;6423742663700;;;;Produs;;;;;19%; - RAMA - EMILIA;;;;;
1206.;RAMA EMILIA MOD |V 64 17P;BUC;;850.00;RON;6429696745820;;;;Produs;;;;;19%; - RAMA - EMILIA;;;;;
1207.;RAMA EMPORIO ARMANI 9518;BUC;;320.00;RON;6426492036596;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1208.;RAMA EMPORIO ARMANI EA 1042;BUC;;460.00;RON;6421606559008;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1209.;RAMA EMPORIO ARMANI EA 1052;BUC;;510.00;RON;6424284604671;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1210.;RAMA EMPORIO ARMANI EA 3089;BUC;;460.00;RON;6421190046601;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1211.;RAMA EMPORIO ARMANI EA 3098;BUC;;510.00;RON;6429271063745;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1212.;RAMA EMPORIO ARMANI EA 3179;BUC;;510.00;RON;6420873151519;;;;Produs;;;;;19%; - RAMA - ARMANI;;;;;
1213.;RAMA EMPORIO ARMANI EA 3201;BUC;;530.00;RON;6421502596299;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1214.;RAMA EMPORIO ARMANI EA 3201;BUC;;530.00;RON;6426215670465;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1215.;RAMA EMPORIO ARMANI EA 4115;BUC;;510.00;RON;6422300825055;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1216.;RAMA EMPORIO ARMANI EA 9872;BUC;;490.00;RON;6424036124907;;;;Produs;;;;;19%; - RAMA - EMPORIO ARMANI;;;;;
1217.;RAMA ENZO 4037;BUC;;280.00;RON;6423534238949;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1218.;RAMA ENZO 500;BUC;;330.00;RON;6425686125382;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1219.;RAMA ENZO 512;BUC;;240.00;RON;6425325239012;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1220.;RAMA ENZO CZF 1159;BUC;;280.00;RON;6427534768390;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1221.;RAMA ENZO CZS 012;BUC;;280.00;RON;6422206851790;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1222.;RAMA ENZO EZ 1132;BUC;;280.00;RON;6425637753176;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1223.;RAMA ENZO EZ 5508;BUC;;330.00;RON;6426263178326;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1224.;RAMA ENZO EZM 502;BUC;;280.00;RON;6421975294920;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1225.;RAMA ENZO EZM 504;BUC;;280.00;RON;6421051766914;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1226.;RAMA ENZO EZS 506;BUC;;330.00;RON;6429778434307;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1227.;RAMA ENZO MH 143;BUC;;180.00;RON;6421641015323;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1228.;RAMA ENZO MH 143;BUC;;180.00;RON;6423142010531;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1229.;RAMA ENZO MH 143;BUC;;180.00;RON;6425480545959;;;;Produs;;;;;19%; - RAMA - ENZO;;;;;
1230.;RAMA ESCADA VES 469;BUC;;500.00;RON;6424502594883;;;;Produs;;;;;19%; - RAMA - ESCADA;;;;;
1231.;RAMA ESCADA VES 69N;BUC;;690.00;RON;6420067974214;;;;Produs;;;;;19%; - RAMA - ESCADA;;;;;
1232.;RAMA ESQUIRE 8916;BUC;;330.00;RON;6427755777522;;;;Produs;;;;;19%; - RAMA - ESQUIRE;;;;;
1233.;RAMA ESQUIRE G1508 R;BUC;;330.00;RON;6429416161787;;;;Produs;;;;;19%; - RAMA - ESQUIRE;;;;;
1234.;RAMA ESSENTIAL ST 3832;BUC;;380.00;RON;6426159828175;;;;Produs;;;;;19%; - RAMA - ESSENTIAL;;;;;
1235.;RAMA ESTIGMA B68;BUC;;405.00;RON;6420155381443;;;;Produs;;;;;19%; - RAMA - ESTIGMA;;;;;
1236.;RAMA ESTIGMA B68;BUC;;630.00;RON;6426196448251;;;;Produs;;;;;19%; - RAMA - ESTIGMA;;;;;
1237.;RAMA ESTYGMA 19938 HW;BUC;;380.00;RON;6425230210359;;;;Produs;;;;;19%; - RAMA - ESTIGMA;;;;;
1238.;RAMA ESTYGMA 20300YW;BUC;;380.00;RON;6429383898334;;;;Produs;;;;;19%; - RAMA - ESTIGMA;;;;;
1239.;RAMA ESTYGMA NGMBP 20300YW;BUC;;380.00;RON;6423036915577;;;;Produs;;;;;19%; - RAMA - ESTIGMA;;;;;
1240.;RAMA EYE DC V 577 010;BUC;;305.00;RON;6427413308365;;;;Produs;;;;;19%; - RAMA - EYE SPIRE;;;;;
1241.;RAMA EYE SPIRE 8021;BUC;;210.00;RON;6426268831677;;;;Produs;;;;;19%; - RAMA - EYE SPIRE;;;;;
1242.;RAMA EYE SPIRE 83641;BUC;;210.00;RON;6426143746577;;;;Produs;;;;;19%; - RAMA - EYE SPIRE;;;;;
1243.;RAMA FILOR FF 3015;BUC;;370.00;RON;6422910740373;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1244.;RAMA FILOS FF 1184;BUC;;370.00;RON;6423280044160;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1245.;RAMA FILOS FF 1184;BUC;;370.00;RON;6424899550585;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1246.;RAMA FILOS FF 1212;BUC;;360.00;RON;6422488795898;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1247.;RAMA FILOS FF 3005;BUC;;370.00;RON;6421808643338;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1248.;RAMA FILOS FF 3005;BUC;;370.00;RON;6423245755056;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1249.;RAMA FILOS FF 3005;BUC;;370.00;RON;6428808542883;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1250.;RAMA FILOS FF 3017;BUC;;370.00;RON;6424151230941;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1251.;RAMA FILOS FF 3029;BUC;;370.00;RON;6423115469670;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1252.;RAMA FILOS FF 5220;BUC;;300.00;RON;6423623761020;;;;Produs;;;;;19%; - RAMA - FILOS;;;;;
1253.;RAMA FOR ART'S SAKE OP 371;BUC;;630.00;RON;6422354911872;;;;Produs;;;;;19%; - RAMA - FOR ART'S SAKE;;;;;
1254.;RAMA FOR ART'S SHAKE OP 232;BUC;;630.00;RON;6426301007748;;;;Produs;;;;;19%; - RAMA - FOR ART'S SAKE;;;;;
1255.;RAMA FOSSIL FOS 6011;BUC;;550.00;RON;6424313466225;;;;Produs;;;;;19%; - RAMA - FOSSIL;;;;;
1256.;RAMA FOSSIL FOS 7038;BUC;;410.00;RON;6420098740680;;;;Produs;;;;;19%; - RAMA - FOSSIL;;;;;
1257.;RAMA FURLA VFU  497;BUC;;630.00;RON;6429142517018;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1258.;RAMA FURLA VFU 190;BUC;;580.00;RON;6421780730927;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1259.;RAMA FURLA VFU 296;BUC;;630.00;RON;6429312915040;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1260.;RAMA FURLA VFU 299;BUC;;630.00;RON;6420714754060;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1261.;RAMA FURLA VFU 303;BUC;;830.00;RON;6426205425235;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1262.;RAMA FURLA VFU 306;BUC;;550.00;RON;6422289764413;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1263.;RAMA FURLA VFU 360;BUC;;710.00;RON;6420792985103;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1264.;RAMA FURLA VFU 974;BUC;;450.00;RON;6427108658218;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1265.;RAMA FURLA VU 4876;BUC;;450.00;RON;6420169982902;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1266.;RAMA FURLA VU 4876 K;BUC;;450.00;RON;6423524317791;;;;Produs;;;;;19%; - RAMA - FURLA;;;;;
1267.;RAMA G-STAR 5001365;BUC;;440.00;RON;6429438026552;;;;Produs;;;;;19%; - RAMA - G-STAR;;;;;
1268.;RAMA GALA 1722;BUC;;220.00;RON;6423188256795;;;;Produs;;;;;19%; - RAMA - GALA;;;;;
1269.;RAMA GALA G 1607;BUC;;190.00;RON;6425228025927;;;;Produs;;;;;19%; - RAMA - GALA;;;;;
1270.;RAMA GALA G 1722;BUC;;220.00;RON;6423489486617;;;;Produs;;;;;19%; - RAMA - GALA;;;;;
1271.;RAMA GANT G 3015;BUC;;570.00;RON;6421274186957;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1272.;RAMA GANT G GIO 0713;BUC;;570.00;RON;6424192406718;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1273.;RAMA GANT GA  3112;BUC;;570.00;RON;6422706349193;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1274.;RAMA GANT GA 3019;BUC;;550.00;RON;6422714833011;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1275.;RAMA GANT GA 3049;BUC;;480.00;RON;6428412011645;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1276.;RAMA GANT GA 3068;BUC;;480.00;RON;6420797325737;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1277.;RAMA GANT GA 3068;BUC;;480.00;RON;6425632457512;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1278.;RAMA GANT GA 3068;BUC;;480.00;RON;6425950832589;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1279.;RAMA GANT GA 3110;BUC;;480.00;RON;6429488965078;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1280.;RAMA GANT GA 3110;BUC;;480.00;RON;6429922056812;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1281.;RAMA GANT GA 3112;BUC;;570.00;RON;6427867314783;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1282.;RAMA GANT GA 31121;BUC;;480.00;RON;6429761294659;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1283.;RAMA GANT GA 3115;BUC;;570.00;RON;6428927446949;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1284.;RAMA GANT GA 3117;BUC;;550.00;RON;6425685295291;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1285.;RAMA GANT GA 3131;BUC;;530.00;RON;6424711999967;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1286.;RAMA GANT GA 3162;BUC;;480.00;RON;6425568670344;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1287.;RAMA GANT GA 3179;BUC;;550.00;RON;6422025540080;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1288.;RAMA GANT GA 3197;BUC;;550.00;RON;6427920515287;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1289.;RAMA GANT GA 4024;BUC;;550.00;RON;6428136508247;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1290.;RAMA GANT GA 4051;BUC;;550.00;RON;6429962804176;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1291.;RAMA GANT GA 4058;BUC;;550.00;RON;6423613824759;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1292.;RAMA GANT GA 4060;BUC;;530.00;RON;6422573869879;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1293.;RAMA GANT GA 4065;BUC;;530.00;RON;6426433004677;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1294.;RAMA GANT GA 4071;BUC;;550.00;RON;6427636145365;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1295.;RAMA GANT GW 103;BUC;;560.00;RON;6427924403276;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1296.;RAMA GANT GW 107;BUC;;530.00;RON;6424421621660;;;;Produs;;;;;19%; - RAMA - GANT;;;;;
1297.;RAMA GENESIS 3300;BUC;;180.00;RON;6420284495547;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1298.;RAMA GENESIS 3300;BUC;;180.00;RON;6420651340586;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1299.;RAMA GENESIS 3300;BUC;;180.00;RON;6421816450560;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1300.;RAMA GENESIS 3300;BUC;;180.00;RON;6426226690070;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1301.;RAMA GENESIS 3300;BUC;;180.00;RON;6429855477241;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1302.;RAMA GENESIS 3901;BUC;;180.00;RON;6427079751932;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1303.;RAMA GENESIS 4401;BUC;;180.00;RON;6421744292379;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1304.;RAMA GENESIS 4401;BUC;;130.00;RON;6423550549319;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1305.;RAMA GENESIS 4401;BUC;;130.00;RON;6429321269721;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1306.;RAMA GENESIS 4405;BUC;;180.00;RON;6428554202420;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1307.;RAMA GENESIS 4405;BUC;;180.00;RON;6429703933509;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1308.;RAMA GENESIS 4830;BUC;;130.00;RON;6420897496900;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1309.;RAMA GENESIS 5402;BUC;;210.00;RON;6424627288476;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1310.;RAMA GENESIS 5402;BUC;;210.00;RON;6425264536616;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1311.;RAMA GENESIS 5901;BUC;;180.00;RON;6420966532782;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1312.;RAMA GENESIS 5901;BUC;;180.00;RON;6429355728225;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1313.;RAMA GENESIS 5902;BUC;;130.00;RON;6421789188231;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1314.;RAMA GENESIS 5902;BUC;;130.00;RON;6428770569789;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1315.;RAMA GENESIS G 0531;BUC;;180.00;RON;6423004092217;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1316.;RAMA GENESIS G 0531;BUC;;180.00;RON;6428897864187;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1317.;RAMA GENESIS G 3300;BUC;;180.00;RON;6426297518952;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1318.;RAMA GENESIS G 3300;BUC;;180.00;RON;6427724655059;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1319.;RAMA GENESIS G 3300;BUC;;180.00;RON;6427958216354;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1320.;RAMA GENESIS G 3300;BUC;;180.00;RON;6429141755640;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1321.;RAMA GENESIS G 3300;BUC;;180.00;RON;6429775367233;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1322.;RAMA GENESIS G 3901;BUC;;180.00;RON;6427319872755;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1323.;RAMA GENESIS G 3901;BUC;;180.00;RON;6429319289533;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1324.;RAMA GENESIS G 3901;BUC;;180.00;RON;6429897661226;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1325.;RAMA GENESIS G 3902;BUC;;130.00;RON;6420932154550;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1326.;RAMA GENESIS G 3902;BUC;;130.00;RON;6427810812304;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1327.;RAMA GENESIS G 3904;BUC;;180.00;RON;6424612607961;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1328.;RAMA GENESIS G 3904;BUC;;180.00;RON;6429064379602;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1329.;RAMA GENESIS G 3904;BUC;;180.00;RON;6429077849093;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1330.;RAMA GENESIS G 4401;BUC;;130.00;RON;6421237383409;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1331.;RAMA GENESIS G 4401;BUC;;130.00;RON;6422404027287;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1332.;RAMA GENESIS G 4403;BUC;;180.00;RON;6421181867680;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1333.;RAMA GENESIS G 4403;BUC;;180.00;RON;6422310197562;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1334.;RAMA GENESIS G 4650;BUC;;210.00;RON;6420280811624;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1335.;RAMA GENESIS G 4655;BUC;;180.00;RON;6422544939532;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1336.;RAMA GENESIS G 4655;BUC;;180.00;RON;6429126675383;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1337.;RAMA GENESIS G 4655;BUC;;180.00;RON;6429924142551;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1338.;RAMA GENESIS G 4830;BUC;;180.00;RON;6420590757858;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1339.;RAMA GENESIS G 4830;BUC;;180.00;RON;6429513231666;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1340.;RAMA GENESIS G 4903;BUC;;130.00;RON;6421322198864;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1341.;RAMA GENESIS G 4903;BUC;;130.00;RON;6421353105381;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1342.;RAMA GENESIS G 4903;BUC;;130.00;RON;6421822759190;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1343.;RAMA GENESIS G 5401;BUC;;180.00;RON;6423336464928;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1344.;RAMA GENESIS G 5401;BUC;;180.00;RON;6423676113043;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1345.;RAMA GENESIS G 5401;BUC;;180.00;RON;6425989909054;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1346.;RAMA GENESIS G 5401;BUC;;160.00;RON;6427411091061;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
1347.;RAMA GENESIS G 5402;BUC;;210.00;RON;6422431389792;;;;Produs;;;;;19%; - RAMA - GENESIS;;;;;
