sep=;
Nr.;Nume Produs;UM;Pret Fara TVA;Pret Cu TVA;Moneda;Cod EAN;Cod Produs;Observatii 1;Observatii 2;Tip;Pret 2;Pret 2 Cu TVA;Pret 3;Pret 3 Cu Tva;Cota TVA;Categorie Produse;Accize;Greutate (Kg);Observatii 3;Observatii 4;
43.;RAMA ALANIE  7981;BUC;;190.00;RON;6424473950305;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
44.;RAMA ALANIE  7983;BUC;;190.00;RON;6420929260295;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
45.;RAMA ALANIE  7983;BUC;;190.00;RON;6422248786302;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
46.;RAMA ALANIE  7983;BUC;;190.00;RON;6423315386975;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
47.;RAMA ALANIE  7983;BUC;;190.00;RON;6425722944687;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
48.;RAMA ALANIE  8901;BUC;;190.00;RON;6421332167607;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
49.;RAMA ALANIE  8901;BUC;;190.00;RON;6427343077010;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
50.;RAMA ALANIE  8902;BUC;;190.00;RON;6423739325802;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
51.;RAMA ALANIE  8902;BUC;;190.00;RON;6426026944229;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
52.;RAMA ALANIE  8902;BUC;;190.00;RON;6427528804165;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
53.;RAMA ALANIE  8908;BUC;;190.00;RON;6421187598502;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
54.;RAMA ALANIE  8908;BUC;;190.00;RON;6421470661647;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
55.;RAMA ALANIE  8908;BUC;;190.00;RON;6422160578610;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
56.;RAMA ALANIE  8908;BUC;;190.00;RON;6423643032650;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
57.;RAMA ALANIE  8908;BUC;;190.00;RON;6423741219182;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
58.;RAMA ALANIE  8908;BUC;;190.00;RON;6424108075663;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
59.;RAMA ALANIE  8908;BUC;;190.00;RON;6424738938222;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
60.;RAMA ALANIE  8908;BUC;;190.00;RON;6425700177823;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
61.;RAMA ALANIE  8908;BUC;;190.00;RON;6426001393806;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
62.;RAMA ALANIE  8908;BUC;;190.00;RON;6428903294779;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
63.;RAMA ALANIE  8910;BUC;;190.00;RON;6421239980262;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
64.;RAMA ALANIE  8910;BUC;;190.00;RON;6423766748872;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
65.;RAMA ALANIE  8910;BUC;;190.00;RON;6423991109943;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
66.;RAMA ALANIE  8910;BUC;;190.00;RON;6428822848503;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
67.;RAMA ALANIE  8911;BUC;;190.00;RON;6423783449271;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
68.;RAMA ALANIE  8911;BUC;;190.00;RON;6424580514469;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
69.;RAMA ALANIE  8911;BUC;;190.00;RON;6429135796031;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
70.;RAMA ALANIE  8912;BUC;;190.00;RON;6421079225301;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
71.;RAMA ALANIE  8912;BUC;;190.00;RON;6421855007633;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
72.;RAMA ALANIE  8912;BUC;;190.00;RON;6427940354538;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
73.;RAMA ALANIE  8918;BUC;;190.00;RON;6425471553048;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
74.;RAMA ALANIE  8918;BUC;;190.00;RON;6427711981383;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
75.;RAMA ALANIE  8918;BUC;;190.00;RON;6428633151380;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
76.;RAMA ALANIE  8919;BUC;;190.00;RON;6420438144512;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
77.;RAMA ALANIE  8919;BUC;;190.00;RON;6424007269255;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
78.;RAMA ALANIE  8919;BUC;;190.00;RON;6426755806294;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
79.;RAMA ALANIE  8920;BUC;;190.00;RON;6424330504337;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
80.;RAMA ALANIE  8920;BUC;;190.00;RON;6424340725371;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
81.;RAMA ALANIE  8920;BUC;;190.00;RON;6429207331962;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
82.;RAMA ALANIE  8920;BUC;;190.00;RON;6429312368235;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
83.;RAMA ALANIE  8921;BUC;;190.00;RON;6425514605376;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
84.;RAMA ALANIE  8921;BUC;;190.00;RON;6426744204209;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
85.;RAMA ALANIE  8922;BUC;;190.00;RON;6420351297531;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
86.;RAMA ALANIE  8922;BUC;;190.00;RON;6425023256618;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
87.;RAMA ALANIE  8922;BUC;;190.00;RON;6425875888104;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
88.;RAMA ALANIE  8928;BUC;;190.00;RON;6421797974413;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
89.;RAMA ALANIE  8928;BUC;;190.00;RON;6423036302742;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
90.;RAMA ALANIE  8928;BUC;;190.00;RON;6424612242704;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
91.;RAMA ALANIE  8928;BUC;;190.00;RON;6428533517668;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
92.;RAMA ALANIE  9016;BUC;;190.00;RON;6420246689113;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
93.;RAMA ALANIE  948;BUC;;190.00;RON;6428274094213;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
94.;RAMA ALANIE  948;BUC;;190.00;RON;6429602677900;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
95.;RAMA ALANIE 19298;BUC;;180.00;RON;6427421130439;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
96.;RAMA ALANIE 251;BUC;;190.00;RON;6422499348465;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
97.;RAMA ALANIE 251;BUC;;190.00;RON;6423041125503;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
98.;RAMA ALANIE 251;BUC;;190.00;RON;6427105583094;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
99.;RAMA ALANIE 251;BUC;;190.00;RON;6428037320290;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
100.;RAMA ALANIE 252;BUC;;190.00;RON;6420768002605;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
101.;RAMA ALANIE 252;BUC;;190.00;RON;6423587155941;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
102.;RAMA ALANIE 252;BUC;;190.00;RON;6425704499549;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
103.;RAMA ALANIE 252;BUC;;190.00;RON;6425793244624;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
104.;RAMA ALANIE 260;BUC;;190.00;RON;6427158336395;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
105.;RAMA ALANIE 260;BUC;;190.00;RON;6428869217508;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
106.;RAMA ALANIE 2608;BUC;;190.00;RON;6423653312452;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
107.;RAMA ALANIE 6866;BUC;;190.00;RON;6426668198356;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
108.;RAMA ALANIE 6872;BUC;;190.00;RON;6428578998279;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
109.;RAMA ALANIE 6875;BUC;;190.00;RON;6424438015148;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
110.;RAMA ALANIE 6881;BUC;;190.00;RON;6421238011509;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
111.;RAMA ALANIE 6977;BUC;;180.00;RON;6426895804822;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
112.;RAMA ALANIE 6977;BUC;;190.00;RON;6429279556522;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
113.;RAMA ALANIE 6979;BUC;;190.00;RON;6423434425203;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
114.;RAMA ALANIE 6980;BUC;;190.00;RON;6422788595747;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
115.;RAMA ALANIE 6980;BUC;;190.00;RON;6429255099807;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
116.;RAMA ALANIE 706;BUC;;180.00;RON;6422657367857;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
117.;RAMA ALANIE 711;BUC;;180.00;RON;6425628989836;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
118.;RAMA ALANIE 711;BUC;;180.00;RON;6428658938249;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
119.;RAMA ALANIE 712;BUC;;180.00;RON;6420387792055;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
120.;RAMA ALANIE 8901;BUC;;190.00;RON;6420092810877;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
121.;RAMA ALANIE 8901;BUC;;190.00;RON;6425098673938;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
122.;RAMA ALANIE 8902;BUC;;190.00;RON;6427365047596;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
123.;RAMA ALANIE 8903;BUC;;190.00;RON;6422924743193;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
124.;RAMA ALANIE 8903;BUC;;190.00;RON;6423672390127;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
125.;RAMA ALANIE 8903;BUC;;190.00;RON;6424362545315;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
126.;RAMA ALANIE 8903;BUC;;190.00;RON;6426208930903;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
127.;RAMA ALANIE 8903;BUC;;190.00;RON;6429938098127;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
128.;RAMA ALANIE 8905;BUC;;190.00;RON;6422496389263;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
129.;RAMA ALANIE 8905;BUC;;190.00;RON;6422905444866;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
130.;RAMA ALANIE 8905;BUC;;190.00;RON;6423395776581;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
131.;RAMA ALANIE 8905;BUC;;190.00;RON;6427603293532;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
132.;RAMA ALANIE 8905;BUC;;190.00;RON;6427692911041;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
133.;RAMA ALANIE 8905;BUC;;190.00;RON;6429203542454;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
134.;RAMA ALANIE 8907 ;BUC;;190.00;RON;6423596940729;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
135.;RAMA ALANIE 8907 ;BUC;;190.00;RON;6425620419423;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
136.;RAMA ALANIE 8907 ;BUC;;190.00;RON;6426389559191;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
137.;RAMA ALANIE 8907 ;BUC;;190.00;RON;6429659403781;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
138.;RAMA ALANIE 8908;BUC;;190.00;RON;6423954683206;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
139.;RAMA ALANIE 8908;BUC;;190.00;RON;6427301560455;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
140.;RAMA ALANIE 8909;BUC;;190.00;RON;6421039177947;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
141.;RAMA ALANIE 8909;BUC;;190.00;RON;6422123869618;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
142.;RAMA ALANIE 8909;BUC;;190.00;RON;6425700557663;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
143.;RAMA ALANIE 8909;BUC;;190.00;RON;6426331741162;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
144.;RAMA ALANIE 8909;BUC;;190.00;RON;6426450484643;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
145.;RAMA ALANIE 8909;BUC;;190.00;RON;6429699576452;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
146.;RAMA ALANIE 8909;BUC;;190.00;RON;6429726281946;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
147.;RAMA ALANIE 8910;BUC;;190.00;RON;6426192159809;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
148.;RAMA ALANIE 8912;BUC;;190.00;RON;6423885699833;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
149.;RAMA ALANIE 8912;BUC;;190.00;RON;6427148541341;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
150.;RAMA ALANIE 8912;BUC;;190.00;RON;6429745826500;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
151.;RAMA ALANIE 8913;BUC;;190.00;RON;6424745036645;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
152.;RAMA ALANIE 8913;BUC;;190.00;RON;6425799677792;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
153.;RAMA ALANIE 8913;BUC;;130.00;RON;6425977525341;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
154.;RAMA ALANIE 8913;BUC;;190.00;RON;6427243044853;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
155.;RAMA ALANIE 8915;BUC;;190.00;RON;6421254591665;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
156.;RAMA ALANIE 8915;BUC;;190.00;RON;6423311289119;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
157.;RAMA ALANIE 8915;BUC;;190.00;RON;6424703564500;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
158.;RAMA ALANIE 8915;BUC;;190.00;RON;6425041635211;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
159.;RAMA ALANIE 8915;BUC;;190.00;RON;6426006805670;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
160.;RAMA ALANIE 8915;BUC;;190.00;RON;6426269877711;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
161.;RAMA ALANIE 8915;BUC;;190.00;RON;6426446779111;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
162.;RAMA ALANIE 8915;BUC;;190.00;RON;6427778235191;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
163.;RAMA ALANIE 8915;BUC;;190.00;RON;6428045861549;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
164.;RAMA ALANIE 8916;BUC;;190.00;RON;6420392829814;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
165.;RAMA ALANIE 8916;BUC;;190.00;RON;6423992025723;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
166.;RAMA ALANIE 8916;BUC;;190.00;RON;6424826152974;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
167.;RAMA ALANIE 8916;BUC;;190.00;RON;6425189897731;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
168.;RAMA ALANIE 8916;BUC;;190.00;RON;6428166415393;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
169.;RAMA ALANIE 8916;BUC;;190.00;RON;6428601317756;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
170.;RAMA ALANIE 8916;BUC;;190.00;RON;6429524902647;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
171.;RAMA ALANIE 8918;BUC;;190.00;RON;6421365481848;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
172.;RAMA ALANIE 8922;BUC;;190.00;RON;6422434633731;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
173.;RAMA ALANIE 8936;BUC;;190.00;RON;6423090139605;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
174.;RAMA ALANIE 8936;BUC;;190.00;RON;6423862820922;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
175.;RAMA ALANIE 8936;BUC;;190.00;RON;6427779776785;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
176.;RAMA ALANIE 8936;BUC;;190.00;RON;6429044471623;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
177.;RAMA ALANIE 901;BUC;;190.00;RON;6422503968443;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
178.;RAMA ALANIE 901;BUC;;190.00;RON;6422535152063;;;;Produs;;;;;19%; - RAMA - ALANIE;;;;;
